rank,ensemble_weight,type,cost,duration,config_id,train_loss,seed,start_time,end_time,budget,status,data_preprocessors,feature_preprocessors,balancing_strategy,config_origin
244,0.02,gradient_boosting,0.02631578947368418,1.5050501823425293,118,0.0,0,1736229391.6858842,1736229393.2093472,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],weighting,Local Search
234,0.0,gradient_boosting,0.02631578947368418,1.4079773426055908,119,0.0,0,1736229396.755095,1736229398.1780567,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],weighting,Local Search
229,0.06,gradient_boosting,0.02631578947368418,1.342104196548462,124,0.0,0,1736229406.7206419,1736229408.0789568,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],weighting,Local Search
227,0.02,gradient_boosting,0.02631578947368418,1.3788385391235352,126,0.0,0,1736229413.0597389,1736229414.45703,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],none,Local Search
224,0.02,gradient_boosting,0.02631578947368418,1.2910184860229492,129,0.0,0,1736229421.0188496,1736229422.3251064,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],none,Local Search
293,0.0,gradient_boosting,0.02631578947368418,1.4814705848693848,131,0.0,0,1736229430.2229986,1736229431.722749,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],weighting,Local Search
294,0.02,gradient_boosting,0.02631578947368418,1.2242581844329834,132,0.0,0,1736229435.4504488,1736229436.688961,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],none,Local Search
355,0.04,gradient_boosting,0.02631578947368418,1.258141279220581,134,0.0,0,1736229441.5672922,1736229442.8410606,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],none,Local Search
351,0.02,gradient_boosting,0.02631578947368418,1.4943273067474365,136,0.0,0,1736229447.7931502,1736229449.306431,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],weighting,Local Search
341,0.02,gradient_boosting,0.02631578947368418,1.2092838287353516,139,0.0,0,1736229458.3407183,1736229459.5661652,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],weighting,Local Search
336,0.0,gradient_boosting,0.02631578947368418,1.4294326305389404,141,0.0,0,1736229464.7241776,1736229466.1739013,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],none,Local Search
346,0.1,gradient_boosting,0.02631578947368418,1.277104377746582,147,0.0,0,1736229479.9164517,1736229481.2091339,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],none,Local Search
347,0.02,gradient_boosting,0.02631578947368418,1.4966657161712646,148,0.0,0,1736229484.8005116,1736229486.3158164,0.0,StatusType.SUCCESS,[],['no_preprocessing'],weighting,Local Search
360,0.02,gradient_boosting,0.02631578947368418,1.2265710830688477,151,0.0,0,1736229499.2308698,1736229500.471496,0.0,StatusType.SUCCESS,[],['no_preprocessing'],none,Local Search
361,0.04,gradient_boosting,0.02631578947368418,1.1220552921295166,155,0.0,0,1736229518.754455,1736229519.8916984,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],none,Local Search
358,0.02,gradient_boosting,0.02631578947368418,1.3690869808197021,157,0.0,0,1736229524.5979993,1736229525.987297,0.0,StatusType.SUCCESS,[],['no_preprocessing'],none,Local Search
356,0.0,gradient_boosting,0.02631578947368418,1.2807583808898926,159,0.0,0,1736229531.3468213,1736229532.6433647,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],none,Local Search
353,0.02,gradient_boosting,0.02631578947368418,1.2221527099609375,161,0.0,0,1736229540.9577327,1736229542.1949718,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],none,Local Search
333,0.02,gradient_boosting,0.02631578947368418,1.2074885368347168,163,0.0,0,1736229546.868964,1736229548.0922923,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],weighting,Local Search
323,0.0,gradient_boosting,0.02631578947368418,1.2377521991729736,164,0.0,0,1736229551.7551043,1736229553.0090516,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],none,Local Search
307,0.02,gradient_boosting,0.02631578947368418,1.228759765625,165,0.0,0,1736229556.5710685,1736229557.8147838,0.0,StatusType.SUCCESS,[],['no_preprocessing'],none,Local Search
306,0.06,gradient_boosting,0.02631578947368418,1.1566905975341797,166,0.0,0,1736229561.44328,1736229562.6157062,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],none,Local Search
304,0.0,gradient_boosting,0.02631578947368418,1.1397836208343506,167,0.0,0,1736229566.2586365,1736229567.4163885,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],none,Local Search
303,0.0,gradient_boosting,0.02631578947368418,1.1468400955200195,168,0.0,0,1736229570.7013264,1736229571.862736,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],weighting,Local Search
301,0.0,gradient_boosting,0.02631578947368418,1.3561477661132812,170,0.0,0,1736229576.3424053,1736229577.7170343,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],none,Local Search
299,0.0,gradient_boosting,0.02631578947368418,1.2742433547973633,172,0.0,0,1736229582.0341597,1736229583.3277059,0.0,StatusType.SUCCESS,[],['no_preprocessing'],none,Local Search
298,0.0,lda,0.02631578947368418,1.3575012683868408,173,0.026666666666666616,0,1736229583.499174,1736229584.877985,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],none,Random Search
313,0.0,passive_aggressive,0.02631578947368418,1.0580241680145264,175,0.0,0,1736229586.3858929,1736229587.4606264,0.0,StatusType.SUCCESS,[],['polynomial'],none,Random Search
329,0.0,gradient_boosting,0.02631578947368418,1.3503882884979248,180,0.0,0,1736229596.382402,1736229597.74947,0.0,StatusType.SUCCESS,[],['no_preprocessing'],weighting,Local Search
327,0.0,gradient_boosting,0.02631578947368418,1.2191648483276367,181,0.0,0,1736229600.9706495,1736229602.2065158,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],none,Local Search
325,0.0,gradient_boosting,0.02631578947368418,1.5533447265625,183,0.0,0,1736229606.699943,1736229608.2720978,0.0,StatusType.SUCCESS,[],['select_percentile_classification'],weighting,Local Search
318,0.0,gradient_boosting,0.02631578947368418,1.1977579593658447,189,0.0,0,1736229621.6714242,1736229622.8846445,0.0,StatusType.SUCCESS,[],['no_preprocessing'],weighting,Local Search
